어장명,정점,위도,경도,어장종류,년도,월,일,기상,수심(m),수온(표),수온(저),수온(차이),염분(저),Ph(저),DO(저),COD(저),NH4-N(저),NO3-N(저),NO2-N(저),DIN(저),TN(저),DIP(저),TP(저),SIO2-SI(저),CHL-A(저),SS(저),투명도,,
진해만,3,35.0516666666667,128.679166666667,진주담치,2020,10,5,맑음,44,21.2,21.17,0.0299999999999976,32.21,8.4,6.29,1.52,0.046,0.026,0.008,0.08,0.275,0.018,0.033,0.292,0.78,16,3,,
진해만,4,35.0597222222222,128.640833333333,진주담치,2020,10,5,맑음,27,21.18,21.16,0.0199999999999996,31.95,8.34,5.96,1.2,0.051,0.038,0.012,0.101,0.223,0.022,0.028,0.384,0.7,21,3.5,,
서귀포,3,33.2775,126.687222222222,마을,2020,8,20,맑음,1,27.2,,27.2,,,,,,,,,,,,,,,,,
서귀포,3,33.4333333333333,126.943333333333,마을,2020,8,20,맑음,1,27.2,,27.2,,,,,,,,,,,,,,,,,
표선,1,33.3008333333333,126.835,마을,2020,8,20,맑음,1,21.4,,21.4,,,,,,,,,,,,,,,,,
표선,2,33.2927777777778,126.8375,마을,2020,8,20,맑음,20,29.82,27.07,2.75,32.48,8.06,6.64,0.42,0.005,0.012,0.002,0.019,0.084,0.003,0.005,0.188,5.68,1.6,8,,
성산,1,33.4333333333333,126.943333333333,마을,2020,8,20,맑음,21,26.26,21.68,4.58,33.83,8.13,7.18,0.47,0.004,0.01,0.001,0.015,0.109,0.003,0.01,0.136,7.44,3.6,7.5,,
성산,2,33.4263888888889,126.931111111111,마을,2020,8,20,맑음,1,23.1,,23.1,,,,,,,,,,,,,,,,,
성산,2,33.5597222222222,126.814444444444,마을,2020,8,20,맑음,1,23.1,,23.1,,,,,,,,,,,,,,,,,
조천,1,33.5597222222222,126.814444444444,마을,2020,8,20,맑음,1,23.3,,23.3,,,,,,,,,,,,,,,,,
조천,2,33.5652777777778,126.809722222222,마을,2020,8,20,맑음,23,26.93,20.83,6.1,33.75,8.14,6.48,0.43,0.005,0.048,0.002,0.056,0.115,0.008,0.013,0.274,2.16,2.4,9,,
조천,4,33.575,126.695,마을,2020,8,20,맑음,21,28.17,25.63,2.54,32.61,8.04,6.94,0.51,0.007,0.02,0.001,0.029,0.093,0.004,0.01,0.23,2.62,1.8,10,,
제주,1,33.5333333333333,126.533333333333,마을,2020,8,19,맑음,9,26.36,23.75,2.61,33.06,8.08,6.91,0.48,0.004,0.018,0.001,0.023,0.09,0.003,0.015,0.235,2.7,2.6,6,,
제주,2,33.5166666666667,126.477777777778,마을,2020,8,19,맑음,22,25.97,22.25,3.72,33.39,8.05,6.78,0.48,0.006,0.041,0.003,0.049,0.15,0.006,0.013,0.256,3.04,3.2,6.5,,
제주,3,33.5166666666667,126.463888888889,마을,2020,8,19,맑음,13,26.58,24.48,2.1,32.83,8.06,6.96,0.32,0.005,0.009,0.002,0.016,0.109,0.005,0.009,0.202,2.88,2.8,6.5,,
제주,4,33.5083333333333,126.45,마을,2020,8,19,맑음,20,25.93,23.04,2.89,33.21,8.08,6.71,0.39,0.005,0.017,0.002,0.023,0.104,0.005,0.01,0.212,3.14,2.4,6.5,,
제주,5,33.2927777777778,126.8375,마을,2020,8,19,맑음,1,24.4,,24.4,,,,,,,,,,,,,,,,,
제주,5,33.4863888888889,126.421944444444,마을,2020,8,19,맑음,1,24.4,,24.4,,,,,,,,,,,,,,,,,
한림,1,33.465,126.310833333333,마을,2020,8,19,맑음,1,24.3,,24.3,,,,,,,,,,,,,,,,,
한림,2,33.4716666666667,126.307222222222,마을,2020,8,19,맑음,22,27.4,24.21,3.19,33.07,8.11,7.38,0.39,0.006,0.009,0.002,0.016,0.076,0.004,0.016,0.051,2.44,3.4,6,,
한림,4,33.3333333333333,126.15,마을,2020,8,19,맑음,17,26.84,21.56,5.28,33.75,8.08,6.65,0.48,0.006,0.048,0.002,0.056,0.088,0.008,0.014,0.205,4.48,3.2,8,,
한림,5,33.2797222222222,126.842222222222,마을,2020,8,19,맑음,1,27.1,,27.1,,,,,,,,,,,,,,,,,
한림,5,33.3586111111111,126.190277777778,마을,2020,8,19,맑음,1,27.1,,27.1,,,,,,,,,,,,,,,,,
대정,1,33.2461111111111,126.195277777778,마을,2020,8,19,맑음,1,23.8,,23.8,,,,,,,,,,,,,,,,,
대정,2,33.2397222222222,126.192777777778,마을,2020,8,19,맑음,18,24.19,19.85,4.34,33.95,8.06,6.32,0.55,0.007,0.075,0.002,0.085,0.105,0.012,0.017,0.285,3.2,1,6,,
대정,4,33.2205555555556,126.336111111111,마을,2020,8,19,맑음,12,29.34,25.19,4.15,32.87,8.04,7.17,0.56,0.006,0.009,0.002,0.017,0.067,0.003,0.01,0.113,0.15,2.6,8.5,,
서귀포,1,33.2166666666667,126.49,마을,2020,8,19,맑음,10,29.34,26.19,3.15,32.65,8.06,7.71,0.64,0.007,0.008,0.002,0.017,0.074,0.003,0.007,0.063,2.44,3.2,6.5,,
서귀포,2,33.2383333333333,126.645,마을,2020,8,19,맑음,18,29.68,24.72,4.96,32.82,8.05,7.04,0.45,0.007,0.009,0.002,0.017,0.073,0.002,0.009,0.128,1.35,1,8.5,,
영일만,1,36.0405555555556,129.451111111111,마을,2020,8,16,맑음,21,22,16.1,5.9,33.8,8.05,4.43,1.28,0.012,0.013,0.001,0.026,0.203,0.004,0.027,0.402,4.74,2.8,4,,
영일만,2,35.0655555555556,129.512777777778,마을,2020,8,16,맑음,28,22.1,14.94,7.16,34.04,7.93,2.82,0.9,0.049,0.121,0.012,0.182,0.349,0.035,0.06,0.96,5.02,6.6,4,,
영일만,2,36.0655555555556,129.512777777778,마을,2020,8,16,맑음,28,22.1,14.94,7.16,34.04,7.93,2.82,0.9,0.049,0.121,0.012,0.182,0.349,0.035,0.06,0.96,5.02,6.6,4,,
구룡포,1,36,129.586111111111,우렁쉥이,2020,8,16,맑음,50,19.6,12.82,6.78,34.33,8.08,5.45,1.1,0.004,0.191,0.002,0.197,0.269,0.031,0.039,0.607,0.26,1.4,5,,
구룡포,2,36,129.636111111111,우렁쉥이,2020,8,16,맑음,101,20.44,7.65,12.79,34.16,8.03,6.53,1.36,0.007,0.013,0.002,0.022,0.173,0.004,0.023,0.351,0.54,2.4,8,,
구룡포,3,35.9222222222222,129.541666666667,우렁쉥이,2020,8,16,맑음,44,19.14,15.18,3.96,34.18,8.08,4.97,1.1,0.009,0.132,0.004,0.145,0.224,0.021,0.031,0.524,1.99,2,5,,
구룡포,4,35.9222222222222,129.6,우렁쉥이,2020,8,16,맑음,82,20.85,7.84,13.01,34.16,8.06,6.73,1.16,0.006,0.203,0.002,0.211,0.283,0.034,0.042,0.569,0.17,2.2,8,,
감포,1,35.7916666666667,129.508333333333,마을,2020,8,16,맑음,31,20.57,15.86,4.71,33.93,8.11,5.27,1.29,0.021,0.051,0.003,0.075,0.201,0.01,0.028,0.397,5.22,2.2,5,,
감포,2,35.7916666666667,129.55,마을,2020,8,16,맑음,58,21.86,11.21,10.65,34.2,8.06,5.7,1.16,0.007,0.197,0.002,0.206,0.291,0.035,0.045,0.641,0.41,4.8,5,,
죽변,1,37.05,129.433333333333,마을,2020,8,15,흐림,25,21.97,18.2,3.77,33.33,8.22,7.04,1.32,0.006,0.009,0.001,0.016,0.116,0.003,0.013,0.217,0.93,3,10,,
죽변,3,37.05,129.483333333333,마을,2020,8,15,흐림,120,22.71,5.25,17.46,34.03,8.1,6.22,1.39,0.004,0.181,0.003,0.188,0.269,0.03,0.038,0.47,0.1,4.2,10,,
울진,1,36.975,129.427777777778,마을,2020,8,15,흐림,30,21.83,16.83,5,33.57,8.11,5.84,1.07,0.012,0.029,0.005,0.046,0.119,0.008,0.014,0.353,0.71,2.2,11,,
울진,2,36.975,129.466666666667,마을,2020,8,15,흐림,109,22.35,5.77,16.58,34.05,8.04,7.77,0.97,0.004,0.197,0.003,0.204,0.263,0.032,0.037,0.517,0.09,0.8,12,,
후포,1,36.65,129.455555555556,우렁쉥이,2020,8,15,흐림,50,21.27,13.86,7.41,34.24,8.08,4.81,0.33,0.007,0.147,0.004,0.158,0.225,0.026,0.032,0.599,0.34,4,8,,
후포,2,36.65,129.513888888889,우렁쉥이,2020,8,15,흐림,101,22.17,5.93,16.24,34.09,8.02,7.26,0.71,0.01,0.201,0.002,0.213,0.306,0.038,0.049,0.643,0.26,6.8,10,,
영덕,1,36.5916666666667,129.455555555556,우렁쉥이,2020,8,15,흐림,73,18.57,10.64,7.93,34.25,8.06,5.94,0.77,0.011,0.195,0.003,0.209,0.299,0.034,0.042,0.642,0.23,3.2,9,,
영덕,2,36.5916666666667,129.513888888889,우렁쉥이,2020,8,15,흐림,112,21.64,5.79,15.85,34.09,8.02,7.4,0.42,0.008,0.202,0.002,0.212,0.285,0.035,0.042,0.567,0.13,7,10,,
영덕,3,36.5333333333333,129.455555555556,우렁쉥이,2020,8,15,흐림,62,20.32,12.37,7.95,34.31,8.06,5.29,0.74,0.009,0.194,0.002,0.205,0.277,0.033,0.038,0.615,0.15,2,10,,
영덕,4,36.5333333333333,129.513888888889,우렁쉥이,2020,8,15,흐림,113,20.87,5.44,15.43,34.08,8.03,7.21,0.55,0.006,0.207,0.002,0.215,0.284,0.034,0.038,0.545,0.07,3,11,,
강구,1,36.35,129.397222222222,마을,2020,8,15,흐림,43,21.42,13.03,8.39,34.29,8.08,5.27,1.38,0.01,0.181,0.003,0.194,0.274,0.031,0.038,0.62,0.4,2.2,10,,
강구,2,36.35,129.455555555556,마을,2020,8,15,흐림,88,23.87,8.28,15.59,34.16,8.1,7.13,0.87,0.006,0.177,0.002,0.185,0.263,0.03,0.036,0.517,0.16,2.4,10,,
월포,1,36.2,129.386111111111,마을,2020,8,15,흐림,33,23.35,15.47,7.88,34.14,8.09,5.11,0.68,0.01,0.11,0.005,0.125,0.202,0.018,0.027,0.513,1.18,1,9,,
월포,2,36.2,129.433333333333,마을,2020,8,15,흐림,50,20.53,12.67,7.86,34.28,8.1,5.01,0.87,0.005,0.127,0.003,0.135,0.213,0.019,0.026,0.487,1.55,1.2,8,,
영광,1,35.3897222222222,126.3775,마을,2020,8,15,맑음,5,25.22,25.11,0.109999999999999,30.52,8.15,10.35,2.14,0.01,0.001,0,0.012,0.076,0.002,0.018,0.054,2.63,8.8,4,,
영광,2,35.3333333333333,126.3,연안,2020,8,15,맑음,8,25.76,24.96,0.800000000000001,30.34,8.1,11.3,3.26,0.01,0.001,0,0.011,0.067,0.004,0.02,0.079,12.97,9.8,5.4,,
고창,1,35.5,126.391666666667,연안,2020,8,15,맑음,5,26.61,26.5,0.109999999999999,29.4,8.09,11.51,1.87,0.012,0.004,0.001,0.016,0.081,0.005,0.026,0.075,18.33,9,3.5,,
곰소만,1,35.555,126.43,진주담치,2020,8,15,맑음,5,27.78,27.1,0.68,28.57,8.1,11.45,3.57,0.012,0.002,0.001,0.015,0.113,0.003,0.026,0.012,21.17,8.4,2.9,,
곰소만,4,35.5816666666667,126.551944444444,바지락,2020,8,15,맑음,4,27.29,26.37,0.919999999999998,27.56,8.16,10.75,2.66,0.032,0.019,0.006,0.056,0.183,0.006,0.045,0.087,32.5,24.6,1.5,,
군산,2,36.0883333333333,126.453333333333,김,2020,8,15,맑음,11,25.1,24.19,0.91,27.3,8.12,8.74,1.95,0.023,0.061,0.007,0.091,0.18,0.003,0.024,0.146,19.5,7.2,2,,
군산,4,36,126.5,김,2020,8,15,맑음,13,25.5,24.94,0.559999999999999,26.27,8.09,9.68,1.95,0.093,0.142,0.016,0.251,0.313,0.013,0.036,0.4,10.43,5,1.5,,
군산,6,35.92,126.457222222222,연안,2020,8,15,맑음,11,25.78,25.3,0.48,26.97,8.07,10.6,3.89,0.011,0.002,0.001,0.015,0.128,0.002,0.03,0.008,20.17,4.8,2,,
군산,7,35.8366666666667,126.398333333333,바지락,2020,8,15,맑음,18,25.95,22.98,2.97,29.93,8,10.88,1.35,0.058,0.023,0.01,0.09,0.147,0.013,0.027,0.256,4.83,6,2.4,,
군산,8,35.7666666666667,126.418333333333,김,2020,8,15,맑음,11,26.43,24.78,1.65,29.47,8.2,11.94,1.83,0.012,0.006,0.002,0.02,0.116,0.006,0.033,0.03,18.17,9,2.8,,
군산,9,35.6555555555556,126.447777777778,어류,2020,8,15,맑음,9,26.62,25.56,1.06,29.9,8.24,12.32,1.55,0.022,0.001,0.001,0.024,0.087,0.005,0.024,0.04,20.5,11.2,3.2,,
금강하구,1,36.1,126.521666666667,김,2020,8,15,맑음,12,25.18,24.55,0.629999999999999,25.69,8.07,8.98,2.26,0.024,0.243,0.015,0.281,0.362,0.003,0.027,0.545,13.25,5.2,2,,
금강하구,2,36,126.646388888889,하구,2020,8,15,맑음,10,23.93,23.9,0.0300000000000011,25.4,7.91,7.67,1.95,0.131,0.203,0.016,0.349,0.413,0.021,0.045,0.657,10.13,7.6,0.8,,
금강하구,3,35.9913888888889,126.61,하구,2020,8,15,맑음,12,24.18,24.35,0.170000000000002,25.42,7.94,7.9,2.34,0.092,0.275,0.017,0.384,0.426,0.014,0.042,0.734,11.13,6.6,1.2,,
금강하구,4,35.9897222222222,126.561111111111,하구,2020,8,15,맑음,10,24.39,23.81,0.580000000000002,26.56,7.96,7.5,2.14,0.09,0.224,0.017,0.332,0.416,0.014,0.039,0.612,11.12,8,1.3,,
보령,1,36.31,126.4825,연안,2020,8,15,맑음,23,25.59,23.56,2.03,27.65,8.01,8.78,1.27,0.119,0.097,0.01,0.226,0.542,0.023,0.036,0.561,2.99,11.2,1.5,,
보령,2,36.2291666666667,126.51,새조개,2020,8,15,맑음,12,24.69,24.33,0.360000000000003,27.17,8.11,8.57,2.1,0.012,0.063,0.006,0.081,0.184,0.003,0.022,0.146,9.85,6,2.9,,
강릉,1,37.78,128.955555555556,가리비,2020,8,14,흐림,26,21.32,18.92,2.4,33.5,8.2,7.67,1.12,0.005,0.006,0.001,0.012,0.102,0.004,0.01,0.16,1.28,0,10,,
강릉,2,37.78,129,가리비,2020,8,14,흐림,80,22.86,6.05,16.81,33.88,8.17,7.77,0.96,0.004,0.118,0.004,0.126,0.196,0.02,0.026,0.308,0.12,1,8,,
강릉,3,37.65,129.066666666667,마을,2020,8,14,흐림,38,22.18,17.35,4.83,33.51,8.22,7.8,1.09,0.003,0.005,0.001,0.009,0.086,0.003,0.009,0.162,0.96,1.4,8,,
강릉,4,37.65,129.125,마을,2020,8,14,흐림,108,23.6,5.32,18.28,33.91,8.12,7.6,0.65,0.005,0.132,0.004,0.141,0.212,0.022,0.029,0.326,0.1,1.6,7,,
삼척,1,37.375,129.263888888889,마을,2020,8,14,흐림,28,23.23,17.78,5.45,33.5,8.17,6.46,1,0.004,0.02,0.004,0.028,0.108,0.006,0.012,0.223,1.19,1.6,8,,
삼척,2,37.375,129.319444444444,마을,2020,8,14,흐림,106,24.22,5.02,19.2,33.98,8.05,6.32,1.44,0.004,0.173,0.003,0.18,0.267,0.029,0.046,0.437,0.33,1,8,,
임원,1,37.2222222222222,129.355555555556,마을,2020,8,14,흐림,33,22.19,17.03,5.16,33.58,8.15,6.03,1.23,0.005,0.019,0.003,0.027,0.101,0.006,0.012,0.308,0.97,3.6,9,,
임원,2,37.2222222222222,129.4,마을,2020,8,14,흐림,56,21.34,10.56,10.78,34.21,8.08,4.7,0.91,0.005,0.167,0.003,0.175,0.244,0.027,0.033,0.513,0.15,2.4,9,,
고성,1,38.2875,128.569444444444,가리비,2020,8,13,맑음,38,23.95,17.93,6.02,33.3,8.19,5.53,0.51,0.014,0.018,0.002,0.034,0.104,0.008,0.014,0.222,0.73,1.4,5,,
고성,2,38.2875,128.605555555556,가리비,2020,8,13,맑음,132,24.12,3.53,20.59,33.91,8.09,7.73,0.76,0.005,0.159,0.003,0.167,0.256,0.027,0.038,0.389,0.36,2,6,,
속초,1,38.2166666666667,128.608333333333,가리비,2020,8,13,맑음,20,24.81,20.64,4.17,33.23,8.22,6.6,0.67,0.001,0.001,0,0.002,0.087,0.002,0.008,0.11,2.18,1.6,5,,
속초,3,38.2166666666667,128.65,가리비,2020,8,13,맑음,89,23.97,6.18,17.79,33.84,8.19,6.94,0.45,0.007,0.097,0.004,0.108,0.175,0.019,0.024,0.281,0.56,1,6,,
양양,1,38.0111111111111,128.75,가리비,2020,8,13,맑음,25,22.62,17.24,5.38,33.5,8.25,6.47,0.99,0.012,0.012,0.001,0.025,0.105,0.005,0.011,0.181,0.87,2.6,6,,
양양,2,38.0111111111111,128.802777777778,가리비,2020,8,13,맑음,68,23.79,8.16,15.63,33.86,8.23,7.36,0.86,0.006,0.065,0.004,0.075,0.143,0.013,0.019,0.226,0.3,1.4,8,,
완도,8,34.3005555555556,126.798611111111,미역,2020,8,12,구름/많음,13,22.9,19.8,3.1,32.82,8.53,6.5,1.16,0.004,0.094,0.02,0.118,0.185,0.023,0.026,0.032,2.24,8.6,2.2,,
완도,9,34.3436111111111,126.628333333333,김,2020,8,12,맑음,24,22.2,20.2,2,32.68,8.49,6.34,1.49,0.004,0.11,0.029,0.143,0.201,0.027,0.036,0.038,1.37,29.6,1.9,,
완도,10,34.1766666666667,126.629166666667,전복,2020,8,12,맑음,19,22.6,19.5,3.1,32.92,8.53,6.12,1.29,0.021,0.106,0.018,0.146,0.187,0.021,0.022,0.038,0.7,8.8,3,,
완도,11,34.2238888888889,126.538611111111,전복,2020,8,12,맑음,29,21.6,20.3,1.3,32.45,8.5,6.8,1.46,0.005,0.041,0.009,0.054,0.158,0.01,0.015,0.022,1.41,7.2,3,,
완도,12,34.1663888888889,126.496666666667,전복,2020,8,12,맑음,7,22.4,21.8,0.599999999999998,32.25,8.59,7.19,1.42,0.004,0.007,0.001,0.012,0.135,0.001,0.011,0.014,1.56,5,4,,
진도,1,34.3191666666667,126.4875,김,2020,8,12,맑음,11,22.7,21,1.7,32.36,8.54,6.7,1.66,0.005,0.067,0.016,0.088,0.178,0.014,0.021,0.025,1.1,9.4,1.9,,
진도,2,34.28,126.370555555556,미역,2020,8,12,맑음,34,21.8,19.2,2.6,32.61,8.48,6.47,1.26,0.007,0.055,0.009,0.071,0.188,0.013,0.024,0.019,0.99,14.6,2.9,,
진도,3,34.4222222222222,126.4425,김,2020,8,12,맑음,5,25,23.5,1.5,31.63,8.38,6.5,2.18,0.007,0.07,0.011,0.088,0.222,0.019,0.027,0.025,2.92,6,1.9,,
진도,5,34.4222222222222,126.4425,김,2020,8,12,맑음,3,25.2,25,0.199999999999999,31.73,8.34,6.73,1.73,0.038,0.064,0.007,0.109,0.228,0.021,0.031,0.038,2.94,11.2,1.4,,
진도,5,34.4236111111111,126.373611111111,김,2020,8,12,맑음,3,25.2,25,0.199999999999999,31.73,8.34,6.73,1.73,0.038,0.064,0.007,0.109,0.228,0.021,0.031,0.038,2.94,11.2,1.4,,
목포,1,34.6127777777778,126.238611111111,김,2020,8,12,구름/많음,20,22.2,21.1,1.1,31.31,8.32,6.8,1.32,0.005,0.142,0.01,0.156,0.282,0.02,0.044,0.026,1.07,45.4,1.6,,
목포,2,34.7191666666667,126.226388888889,미역,2020,8,12,맑음,29,22.4,21.5,0.899999999999999,30.7,8.25,6.78,1.42,0.009,0.204,0.017,0.23,0.296,0.026,0.05,0.038,0.94,39,2.6,,
목포,3,34.8061111111111,126.267777777778,김,2020,8,11,흐림,8,24.1,21.9,2.2,29.48,8.4,6.57,1.49,0.02,0.222,0.024,0.265,0.302,0.03,0.036,0.052,0.79,29.6,1.5,,
영산강하구,1,34.7516666666667,126.339166666667,하구,2020,8,11,비,19,24.8,21.9,2.9,29.52,8.34,6.64,1.48,0.018,0.307,0.023,0.348,0.36,0.03,0.049,0.051,0.86,37.4,1.5,,
영산강하구,2,34.7897222222222,126.35,하구,2020,8,11,흐림,20,24.5,22.1,2.4,28.36,8.33,6.46,1.5,0.045,0.298,0.031,0.374,0.423,0.036,0.056,0.069,0.86,35.2,0.7,,
영산강하구,3,34.7788888888889,126.380555555556,하구,2020,8,11,비,15,24.9,22.3,2.6,27.07,8.3,6.24,1.88,0.086,0.389,0.026,0.5,0.52,0.042,0.062,0.064,0.76,39.2,0.4,,
영산강하구,4,34.7830555555556,126.4125,하구,2020,8,11,비,15,24.9,22.3,2.6,26.14,8.23,6.1,1.81,0.092,0.362,0.025,0.479,0.533,0.044,0.065,0.055,0.79,14.5,0.3,,
함평,1,35.165,126.292222222222,연안,2020,8,11,흐림,14,25.6,24.9,0.700000000000003,28.11,8.1,6.33,2.37,0.01,0.322,0.035,0.366,0.456,0.058,0.073,0.056,1.84,91.6,0.5,,
함평,2,35.1527777777778,126.361111111111,연안,2020,8,11,흐림,11,26.4,25.8,0.599999999999998,26.79,8.21,6.14,1.72,0.032,0.379,0.063,0.475,0.526,0.079,0.082,0.064,1.2,25.2,0.9,,
함평,3,35.1247222222222,126.369166666667,연안,2020,8,11,흐림,11,26.8,25.8,1,26.73,8.22,6.1,1.77,0.054,0.38,0.069,0.504,0.542,0.088,0.088,0.069,1.21,22,0.9,,
마산만,1,35.0866666666667,128.693888888889,진주담치,2020,8,8,비,15,24.61,17.16,7.45,32.52,7.78,4.37,1.7,0.023,0.15,0.011,0.184,0.326,0.027,0.043,0.722,1.86,15.2,1.5,,
마산만,2,35.1372222222222,128.68,진주담치,2020,8,8,비,7,25.36,22.56,2.8,27.55,7.89,1.12,3.4,0.126,0.024,0.003,0.154,0.36,0.009,0.032,0.47,7.24,7.4,1,,
마산만,3,35.0869444444445,128.631111111111,진주담치,2020,8,8,비,12,23.18,17.81,5.37,32.07,7.79,3.79,1.97,0.094,0.133,0.018,0.245,0.421,0.032,0.05,0.906,1.81,16.2,1,,
진해만,1,35.0458333333333,128.758888888889,진주담치,2020,8,8,비,17,23.25,15.7,7.55,33.68,7.88,4.79,0.6,0.011,0.16,0.006,0.178,0.275,0.031,0.04,0.629,0.79,15.7,1.5,,
진해만,2,35.0597222222222,128.724166666667,진주담치,2020,8,8,비,21,23.49,16.2,7.29,33.28,7.78,4.69,0.73,0.013,0.164,0.009,0.186,0.304,0.032,0.04,0.699,1,15.1,1.5,,
완도,1,34.4175,127.079166666667,어류,2020,8,8,비,14,23.14,21.9,1.24,32.14,8.27,6.45,1.34,0.033,0.034,0.019,0.086,0.181,0.019,0.027,0.028,1.81,9.2,1.5,,
완도,2,34.4061111111111,127.010277777778,미역,2020,8,8,비,32,21.6,21,0.600000000000001,32.42,8.35,6.5,1.25,0.027,0.047,0.02,0.094,0.172,0.021,0.024,0.029,1.42,9,2.4,,
완도,3,34.3472222222222,126.986111111111,미역,2020,8,8,흐림,16,21.27,20.26,1.01,32.63,8.39,6.36,1.19,0.063,0.061,0.02,0.143,0.18,0.023,0.027,0.03,1.11,21.8,1.9,,
완도,4,34.4213888888889,126.936944444444,미역,2020,8,8,비,17,22.4,20.13,2.27,32.66,8.4,6.45,1.16,0.017,0.074,0.023,0.114,0.171,0.024,0.024,0.034,1.13,19.4,2,,
완도,5,34.3486111111111,126.939722222222,미역,2020,8,8,비,25,21.53,19.35,2.18,32.85,8.41,6.43,1.15,0.009,0.088,0.017,0.115,0.168,0.021,0.022,0.028,1.15,19.2,2.4,,
완도,6,34.3538888888889,126.758333333333,전복,2020,8,8,흐림,12,23.9,21.24,2.66,32.09,8.4,6.26,1.2,0.037,0.081,0.022,0.139,0.186,0.025,0.025,0.043,1.12,13.6,1.6,,
완도,7,34.3475,126.8,전복,2020,8,8,흐림,12,22.55,21.62,0.93,32.07,8.36,6.29,1.46,0.044,0.069,0.02,0.133,0.186,0.023,0.025,0.037,0.92,16,2,,
도암만,1,34.5380555555556,126.785277777778,바지락,2020,8,8,흐림,7,26.07,25.6,0.469999999999999,25.75,8.25,5.86,2.1,0.116,0.2,0.016,0.332,0.399,0.056,0.062,0.089,1.91,37,0.8,,
도암만,2,34.5027777777778,126.782222222222,바지락,2020,8,8,흐림,6,25.9,25.3,0.599999999999998,28.1,8.28,6,2.09,0.115,0.188,0.018,0.322,0.332,0.052,0.053,0.097,3.6,15.6,1,,
도암만,3,34.4525,126.785555555556,바지락,2020,8,8,흐림,4,24.9,23.38,1.52,30.62,8.33,6.06,1.51,0.07,0.078,0.02,0.168,0.219,0.03,0.031,0.053,0.88,16,1,,
천수만,1,36.6083333333333,126.368333333333,바지락,2020,8,8,흐림/비,14,25.01,24.93,0.0800000000000019,26.49,7.98,5.99,1.39,0.241,0.138,0.022,0.401,0.453,0.05,0.064,1.001,0.83,5.8,0.9,,
천수만,2,36.5947222222222,126.403333333333,굴,2020,8,8,흐림/비,10,25.02,24.87,0.149999999999999,26.57,7.9,5.36,1.71,0.249,0.182,0.024,0.454,0.498,0.051,0.066,1.042,0.87,8.8,0.6,,
천수만,3,36.55,126.386666666667,피조개,2020,8,8,흐림/비,11,24.93,24.95,0.0199999999999996,26.27,7.97,6.13,2.3,0.232,0.244,0.033,0.508,0.559,0.054,0.079,1.082,4.07,11.8,1.2,,
천수만,4,36.5363888888889,126.458888888889,바지락,2020,8,8,흐림/비,9,24.78,24.76,0.0199999999999996,26.27,8,6.17,1.51,0.16,0.163,0.018,0.341,0.407,0.035,0.052,0.814,2.76,15.6,1,,
천수만,5,36.4822222222222,126.47,바지락,2020,8,8,흐림/비,11,24.75,24.74,0.0100000000000016,26.2,8.01,5.86,1.71,0.165,0.174,0.02,0.358,0.42,0.034,0.051,0.773,3.2,11.6,1,,
천수만,6,36.4280555555556,126.497777777778,바지락,2020,8,8,흐림/비,15,24.7,24.65,0.0500000000000007,26.04,8.04,6.32,1.63,0.117,0.168,0.015,0.3,0.41,0.022,0.041,0.596,4.23,11.4,0.6,,
천수만,7,36.4013888888889,126.482777777778,연안,2020,8,8,흐림/비,24,25.05,24.55,0.5,26.07,8.07,6.48,1.39,0.073,0.071,0.015,0.158,0.356,0.013,0.039,0.299,4.47,12,0.7,,
천수만,8,36.3933333333333,126.443333333333,전복,2020,8,8,흐림/비,21,24.33,24.26,0.0699999999999967,26.21,8.03,6.63,1.63,0.079,0.158,0.013,0.25,0.337,0.014,0.034,0.445,6.43,18.6,1.6,,
진해만,4,35.0597222222222,128.640833333333,진주담치,2020,8,7,흐림,26,24.81,15.96,8.85,33.53,7.71,4.49,1.51,0.019,0.158,0.01,0.187,0.341,0.033,0.046,0.723,0.42,18.5,2,,
진해만,7,35.0533333333333,128.570555555556,진주담치,2020,8,7,흐림,16,25.55,17.06,8.49,32.69,7.67,3.31,1.73,0.08,0.165,0.024,0.268,0.386,0.045,0.048,1.099,0.38,9.6,1.5,,
진해만,8,35.0888888888889,128.527222222222,굴/미더덕,2020,8,7,흐림,13,26.96,18.65,8.31,32.19,7.56,0.42,2.1,0.227,0.035,0.01,0.271,0.505,0.055,0.073,1.046,0.56,11.3,2,,
진해만,9,35.0852777777778,128.4825,굴/미더덕,2020,8,7,흐림,11,26.63,18.82,7.81,32.46,7.54,0.4,3.35,0.509,0.002,0.001,0.512,0.613,0.103,0.11,1.609,0.71,12.7,1.5,,
진해만,11,35.0533333333333,128.516111111111,굴,2020,8,7,흐림,16,26.34,17.42,8.92,32.72,7.65,1,1.8,0.175,0.113,0.025,0.313,0.462,0.062,0.074,1.438,0.26,6.7,2,,
진해만,12,35.0288888888889,128.5,굴/미더덕,2020,8,7,흐림,19,23.96,17.22,6.74,32.98,7.59,0.62,1.61,0.165,0.107,0.02,0.292,0.448,0.061,0.072,1.466,0.12,10.2,1.5,,
진해만,14,34.9991666666667,128.493888888889,굴,2020,8,7,비,21,23.69,17.25,6.44,32.97,7.57,1.08,0.62,0.149,0.119,0.022,0.291,0.377,0.059,0.061,1.4,0.14,11.8,2,,
